source,source_ids,name,postcode,streetaddress,loc_lat,loc_long,website,phone
alma,1cf626096edfadca,Regents Park Aesthetics,,"19 Wimpole Street, W1G, United Kingdom, London",51.5183026,-0.148039,,+44 7745845777
alma,c0a213b70448098b,Fiji Skin Clinic,B23 5TN,"147 Sutton Road, B23 5TN, United Kingdom, BIRMINGHAM",52.5342724,-1.8276947,,+44 7812669295
alma,0f97492b7db1fc73,Regener8 Healthcare,B45 8NF,"42 Hewell Rd, Barnt Green,, B45 8NF, United Kingdom, Birmingham",52.3604779,-1.9908496,,+44 121 820 5197
alma,edae55b276cfc0c5,True Beauty Clinic,B5 4TT,"Unit 3A, 41 Essex Street, B5 4TT, United Kingdom, Birmingham",52.4730942,-1.8974972,,01216666398
alma,bf9a16fb72f291ec,Nur Skin Clinic,B8 1RQ,"196 Washwood Heath Road Saltley,, B8 1RQ, United Kingdom, Birmingham",52.4953708,-1.8533869,,+44 1212709933
alma,95122c529a355832,Omarosa Aesthetics &amp; Laser Clinic,B90 3BB,"126 Stratford Road, B90 3BB, United Kingdom, Solihull",52.4146736,-1.8288736,,0121 745 4288
alma,fa054023be53fced,Samantha Rose Skin &amp; Laser,BB1 9SP,"449 Whalley New Road, BB1 9SP, United Kingdom, Blackburn",53.7677796,-2.4764104,,01254 482804
alma,be82e2fcb27eb5c1,"Hidden beauty, by Suzanne",BB10 1DZ,"268 Colne Road Burnley, Lancashire,, BB10 1DZ, United Kingdom, Lancashire",53.8048303,-2.2342743,,07871500678
alma,28619ad3f76b8081,Hidden Beauty by Suzanne,BB101DZ,"268 colne rd, Bb101DZ, United Kingdom, Burnley",53.8048303,-2.2342743,,07871500678
alma,d53eebfedd2364ca,Hq lazer ltd,BD2 3BJ,"387 Little Horton Lane, Bd2 3bj, United Kingdom, Bradford",53.7802863,-1.7653981,,07706031765
alma,a57315c2a70e4b47,Alara Skin Clinic,BD2 4JG,"14 Lodore Avenue, BD2 4JG, United Kingdom, Bradford",53.8141201,-1.7342983,,07745170688
alma,d0e82c589a43bfc7,Arden Clinic,BD5 8EL,"Woodroyd Medical Centre, 1st Floor, Greenway Road, BD5 8EL, United Kingdom, Bradford",53.7747108,-1.7527608,,07449 957255
alma,b6fc54be8ed44317,Lavelle Clinic,BD7 1LN,"10 Legrams Terrace, Fieldhead Business Centre,, BD7 1LN, United Kingdom, Bradford",53.7938494,-1.7727907,,+44 7834499155
alma,036edf7fea87e6d9,The Venue Beauty Salon,BH10 4HZ,"272 Wallisdown Road, BH10 4HZ, United Kingdom, Bournemouth",50.7464842,-1.910069,,+44 1202566000
alma,3766116443b465e2,Ringwood laser LTD,BH24 1DW,"Christchurch Road, BH24 1DW, United Kingdom, Ringwood",50.8446557,-1.7884666,,07394581817
alma,e9fe02fbd049dac8,Westbourne Laser Lounge,BH9 3NT,"BH9 3NT, United Kingdom",50.7619003,-1.8718387,,07791221477
alma,9fbc074690fbff49,Pellis and co,BL1 2HA,"26 higher bridge street, Bl1 2ha, United Kingdom, Bolton",53.5828401,-2.4287247,,07974707960
alma,c3d5ec62e886b404,Cells Aesthetics,BN3 5JA,"193 Portland Rd, BN3 5JA, United Kingdom, Brighton & Hove",50.8339831,-0.1896845,,+44 7595749822
alma,d9d67af58f0f360b,The Hampton Clinic,BS82RY,"177 whiteladies road, Bs82ry, United Kingdom, Clifton Bristol",51.469123,-2.6138091,,+44 1179734444
alma,025ccbae79a2b43b,Samantha Ward Aesthetics,CA1 2UT,"Alanbrooke Road, CA1 2UT, United Kingdom, Carlisle",54.8918517,-2.8940956,,07717527251
alma,ff96c159326aa0cc,Elaje hair and beauty salon,CB2 8PB,"Cb2 8pb, United Kingdom",52.1890295,0.1357499,,07956486984
alma,3f622d34a3f5ac1c,Klinique Medical Aesthetics,CH49 0TH,"159 Ford Rd, Upton, Birkenhead,, CH49 0TH, United Kingdom, Wirral",53.3847605,-3.0982129,,+44 0151 200 1195
alma,073c35f7715f2d40,The Dorchester Clinic,CV13 0LT,"Bosworth Dental Practice, 41 Station Road, CV13 0LT, United Kingdom, Market Bosworth",52.6237675,-1.4044974,,+44 01455 377 622
alma,20ee6b7395fdadc0,Esqué Beauty,CV32 5DY,"36-38a Bedford St, CV32 5DY, United Kingdom, Leamington Spa",52.2905048,-1.5367374,,01926833311
alma,ad852a29234ebd80,Glam Haus Clinic,CV6 3EX,"7 jubilee crescent, CV6 3EX, United Kingdom, Coventry",52.4316742,-1.5173526,,+44 7464444697
alma,2f40ac9ff280eb8c,The Nantwich Clinic,CW5 7EJ,"CW5 7EJ, United Kingdom, Nantwich",53.0636211,-2.4983214,,01270627118
alma,bc025e75b85ce78a,the attic medi-spa,DN31 1JY,"the attic medi-spa, 14 Abbeygate, DN31 1JY, United Kingdom, Grimsby",53.5641032,-0.0864003,,+44 1472722444
alma,d48a9e64e040ee5a,the attic medi-spa,DN31 1JY,"14 AbbeyGate Walk, DN31 1JY, United Kingdom, Grimsby",53.5639108,-0.0856258,,+4407803542313
alma,77bd01d4c075f835,Dorset Aesthetics Ltd,DT11 8PW,"Wood Store 4 Ash Farm Courtyard, DT11 8PW, United Kingdom, Stourpaine",50.88471,-2.198211,,07932 881891
alma,d9440cbbb78d00ff,Reayou beauty,E14 9FG,"E14 9FG, United Kingdom, London",51.4972392,-0.0157796,,07355648889
alma,b9183b6667349395,Seline Clinic Ltd,E4 9AA,"60 Chingford Mount Rd, E4 9AA, United Kingdom, London",51.6102864,-0.0174975,,07355838806
alma,4662f6e725ef5d48,Healthxchange (UK) LTD,EC3M 6BL,"143-149 Fenchurch Street, EC3M 6BL, United Kingdom, London",51.5117484,-0.0827353,,+44 330 995 7999
alma,66d0e4cd943bb6ba,IV MediSpa,EH3 9NA,"54 Home St,, EH3 9NA, United Kingdom, Edinburgh",55.9422713,-3.2036977,,+44 131 202 7856
alma,a795e5ef99fd81cb,Aesthetics by Stephanie,EH54 8SZ,"13 Sarazen Green, EH54 8SZ, United Kingdom, Livingston",55.9102071,-3.5385549,,01506371026
alma,1c8f3d48a4b2575d,Diamed London Clinic,EN8 7AF,"83A High St,, EN8 7AF, United Kingdom, Waltham Cross",51.6849417,-0.0332321,,+44 20 3807 5555
